,PRODUCT NAMES,PRODUCT PRICE,LINKS
0,Men's Sports Shoes Casual Shoes Running Lacing Breathable,"₦ 6,800",https://www.jumia.com.ng/fashion-mens-sports-shoes-casual-shoes-running-lacing-breathable-227097828.html
1,Fashionable Men's High-Top Board Shoes Cultural Dances And Running Sneakers-Black,"₦ 5,500",https://www.jumia.com.ng/fashion-fashionable-mens-high-top-board-shoes-cultural-dances-and-running-sneakers-black-231553314.html
2,Men's Sports Shoes Running Shoes + 2 Pairs Of Socks (Free),"₦ 7,550",https://www.jumia.com.ng/generic-mens-sports-shoes-running-shoes-2-pairs-of-socks-free-227216184.html
3,Men's Sports Shoes Running Shoes + 2 Pairs Of Socks (Free),"₦ 7,550",https://www.jumia.com.ng/generic-mens-sports-shoes-running-shoes-2-pairs-of-socks-free-227216187.html
4,Men's Sports Running Shoes -Multi Color,"₦ 9,990",https://www.jumia.com.ng/fashion-mens-sports-running-shoes-multi-color-94260062.html
5,Flangesio Trendy Sneakers Male Trainer Shoes Men High Quality Fashion Marathon Sneakers Shockproof Casual Tennis Shoes For Men Jogging Footwear White,"₦ 26,300",https://www.jumia.com.ng/flangesio-trendy-sneakers-male-trainer-shoes-men-high-quality-fashion-marathon-sneakers-shockproof-casual-tennis-shoes-for-men-jogging-footwear-white-238895203.html
6,Lauder WM - Black And White Shoes,"₦ 8,720",https://www.jumia.com.ng/fashion-lauder-wm-black-and-white-shoes-173155660.html
7,2021 Mens Casual High-Top Shoes Running Sneakers - Beige,"₦ 8,768",https://www.jumia.com.ng/fashion-2021-mens-casual-high-top-shoes-running-sneakers-beige-67524091.html
8,Monospec Sneakers - White,"₦ 8,890",https://www.jumia.com.ng/fashion-monospec-sneakers-white-13559200.html
9,2021 Mens Casual Classic Shoes Board Sneakers-Grey,"₦ 7,499 - ₦ 8,619",https://www.jumia.com.ng/fashion-2021-mens-casual-classic-shoes-board-sneakers-grey-94283554.html
10,Trendy Men's Casual Shoes Glossy Leather Running Sneakers - Black,"₦ 7,785 - ₦ 7,990",https://www.jumia.com.ng/fashion-trendy-mens-casual-shoes-glossy-leather-running-sneakers-black-105588013.html
11,2021 Men Casual Noble Running Sneakers - Black/Gold,"₦ 7,199",https://www.jumia.com.ng/fashion-2021-men-casual-noble-running-sneakers-blackgold-67963547.html
12,ENS Smart Unisex Classic Sneakers - Grey,"₦ 12,890",https://www.jumia.com.ng/fashion-ens-smart-unisex-classic-sneakers-grey-30952921.html
13,2022 Men Casual Classic Running Sneakers - White,"₦ 6,820",https://www.jumia.com.ng/fashion-2022-men-casual-classic-running-sneakers-white-67136739.html
14,Mid-Sole Denim Sneakers - Sky Blue,"₦ 3,990",https://www.jumia.com.ng/fashion-mid-sole-denim-sneakers-sky-blue-162093693.html
15,Suede Mid-ankle Sneakers - Black,"₦ 3,990",https://www.jumia.com.ng/fashion-suede-mid-ankle-sneakers-black-162096510.html
16,Men's Slip-on Walkabout Sports Shoes -bl02- Blue,"₦ 2,990",https://www.jumia.com.ng/fashion-mens-slip-on-walkabout-sports-shoes-bl02-blue-79536067.html
17,Men's Smart Suede Formal And Casual Loafers,"₦ 3,990",https://www.jumia.com.ng/fashion-mens-smart-suede-formal-and-casual-loafers-239660774.html
18,2021 Mens Casual Board Shoes Running Sneakers - White/Black,"₦ 9,800",https://www.jumia.com.ng/fashion-2021-mens-casual-board-shoes-running-sneakers-whiteblack-102351566.html
19,2022 Men's Casual Classic Running Sneakers- Multi,"₦ 4,999 - ₦ 6,999",https://www.jumia.com.ng/fashion-2022-mens-casual-classic-running-sneakers-multi-67136749.html
20,UrbanStroll Blue Canvas,"₦ 6,790",https://www.jumia.com.ng/fashion-urbanstroll-blue-canvas-11034877.html
21,Men's Sneakers-gray,"₦ 4,300",https://www.jumia.com.ng/fashion-mens-sneakers-gray-163829420.html
22,2021 Men Classic Running Sneakers - Black/White,"₦ 4,999 - ₦ 7,999",https://www.jumia.com.ng/fashion-2021-men-classic-running-sneakers-blackwhite-87891827.html
23,ASHION 2023 Men's Casual Shoes Popular Colour Blocking Design Sneakers - Brown&Blue,"₦ 8,999 - ₦ 11,999",https://www.jumia.com.ng/ashion-2023-mens-casual-shoes-popular-colour-blocking-design-sneakers-brownblue-225382092.html
24,Men's Sneakers Lace Up Shoes,"₦ 7,500",https://www.jumia.com.ng/fashion-mens-sneakers-lace-up-shoes-126378444.html
25,Flying Mesh Men Sneakers Running Shoes-Black&White,"₦ 4,388",https://www.jumia.com.ng/fashion-flying-mesh-men-sneakers-running-shoes-blackwhite-69998332.html
26,2022 Men Casual Air-Cushion Running Sneakers - White,"₦ 9,700",https://www.jumia.com.ng/fashion-2022-men-casual-air-cushion-running-sneakers-white-91831095.html
